"Index","Menge","Teilenummer","Hersteller-Teilenummer","Beschreibung","Kundenreferenz","Lieferrückstände","Stückpreis","Gesamtpreis"
"1","2","1568-COM-21216-ND","COM-21216","14-SEGMENT ALPHANUMERIC DISPLAY","217","0","2,34000","4,68 €"
"2","25","1727-3327-1-ND","74HC595BQ,115","IC 8BIT SHIFT REGISTER 16-DHVQFN","218","0","0,32440","8,11 €"
"3","100","399-17900-1-ND","C1206C683KARECAUTO","CAP CER 1206 68NF 250V X7R 10%","220","0","0,08310","8,31 €"
"4","10","240-MGAH06032R2M-10CT-ND","MGAH06032R2M-10","0603 INDUCTOR 2.2UH 7A","221","0","0,39200","3,92 €"
"5","10","1934-1315-1-ND","2518061017Y6","FERRITE BEAD 100 OHM 1806 1LN","222","0","0,15800","1,58 €"
"6","10","565-EKXJ251ELL101ML20S-ND","EKXJ251ELL101ML20S","CAP ALUM 100UF 20% 250V RADIAL","225","0","1,35600","13,56 €"
"7","10","1934-1378-1-ND","2744051447","CMC 5A 2LN 230 OHM SMD","226","0","0,41900","4,19 €"
"8","1","1568-COM-21217-ND","COM-21217","14-SEGMENT ALPHANUMERIC DISPLAY","227","0","2,34000","2,34 €"
"9","1","1568-COM-21212-ND","COM-21212","14-SEGMENT ALPHANUMERIC DISPLAY","228","0","2,34000","2,34 €"
"10","1","1568-COM-21213-ND","COM-21213","14-SEGMENT ALPHANUMERIC DISPLAY","229","0","2,34000","2,34 €"
"11","1","1568-COM-21215-ND","COM-21215","14-SEGMENT ALPHANUMERIC DISPLAY","230","0","2,34000","2,34 €"
"12","1","1568-COM-21214-ND","COM-21214","14-SEGMENT ALPHANUMERIC DISPLAY","231","0","2,34000","2,34 €"
"13","100","1292-WR06X331JTLCT-ND","WR06X331 JTL","RES 330 OHM 5% 1/10W 0603","69","0","0,00380","0,38 €"
"14","25","1934-1487-1-ND","2508056017Y2","FERRITE BEAD 600 OHM 0805 1LN","223","0","0,04160","1,04 €"
"","","","","","","","Zwischensumme","57,47 €"